original_question,true_answer,true_source,part,model_full_response,model_answer,model_source,correct_answer,correct_part,correct_siman,correct_saif,correct_all
שכן שלי נוהג לברך על הטלית בעמידה ולאחר מכן הוא מתיישב ומתעטף בטלית כי הוא אומר שכך נוח לו יותר לסדר את הטלית היטב (כשהוא יושב). האם הנוהג שלו תואם את ההלכה?,לא,"שו""ע או""ח ח:א","או""ח","תשובה: לא
מקור: שו""ע או""ח ח:א",לא,"שו""ע או""ח ח:א",True,True,True,True,True
"לפני כמה ימים קניתי טלית קטן חדש. כשלבשתי אותו בפעם הראשונה, בירכתי ""להתעטף בציצית"". חבר אמר לי שיש לברך ""על מצוות ציצית"" על טלית קטן, ולא ""להתעטף"". האם החבר שלי צודק?","מחלוקת שו""ע-רמ""א","שו""ע או""ח ח:ו","או""ח","תשובה: לא

מקור: שו""ע או""ח י""ח:א",לא,"שו""ע או""ח י""ח:א",False,True,False,False,False
"בבית הכנסת ראיתי מתפלל שלפני שהוא מתעטף בטלית, הוא מקדיש זמן להפריד את חוטי הציצית בידיו. חבר שלי אמר שזאת ""חומרה"" ואין צורך לעשות זאת. האם המתפלל נוהג לפי ההלכה?",כן,"שו""ע או""ח ח:ז","או""ח","תשובה: כן
מקור: שו""ע או""ח ח:ז",כן,"שו""ע או""ח ח:ז",True,True,True,True,True
"בכל בוקר כשאני מתעטף בטלית, אני מכוון שה' ציווה אותנו להתעטף בציצית. האם זאת אכן הכוונה הרצויה?",לא,"שו""ע או""ח ח:ח","או""ח","תשובה: לא
מקור: שו""ע או""ח ח:ו",לא,"שו""ע או""ח ח:ו",True,True,True,False,False
"התגלע ויכוח בבית הכנסת בין שני מתפללים לגבי בדיקת הציצית. משה טוען שחייבים לבדוק את חוטי הציצית לפני כל ברכה בכל יום כדי לוודא שלא נקרעו, ואילו דוד טוען שאפשר לסמוך על הבדיקה שנעשתה בזמן הקנייה ואין צורך לבדוק מחדש כל יום אלא רק מדי פעם. התערבתי בוויכוח ואמרתי שדוד צודק כי זה סתם חומרה מיותרת לבדוק כל יום. האם צדקתי?",לא,"שו""ע או""ח ח:ט","או""ח","תשובה: לא
מקור: שו""ע או""ח ח:ב",לא,"שו""ע או""ח ח:ב",True,True,True,False,False
"בבוקר התעטפתי בטלית והתפללתי. באמצע התפילה נאלצתי להוריד את הטלית לרגע כדי לסדר את החולצה שלי, כאשר בכוונתי היה לחזור ולהתעטף בה מיד. כשחזרתי והתעטפתי בה, לא ברכתי שוב על הטלית כי חשבתי שהברכה הראשונה עדיין תקפה. האם פעלתי לפי הדין?","מחלוקת שו""ע-רמ""א","שו""ע או""ח ח:יד","או""ח","תשובה: כן
מקור: שו""ע או""ח ח:יד",כן,"שו""ע או""ח ח:יד",False,True,True,True,False
"הטלית שלי נפלה לגמרי על הרצפה בלי כוונה במהלך התפילה. כשהרמתי אותה והתעטפתי בה מחדש, לא בירכתי שוב כי חשבתי שהברכה הראשונה עדיין תקפה. האם פעלתי לפי הדין?",לא,"שו""ע או""ח ח:טו","או""ח","תשובה: לא
מקור: שו""ע או""ח ח:ד",לא,"שו""ע או""ח ח:ד",True,True,True,False,False
"קניתי טלית קטן חדשה ולבשתי אותה למשך שעה בלבד כדי לבדוק איך היא מרגישה על הגוף, למרות שעדיין לא קשרתי לה ציציות. האם פעלתי לפי ההלכה?",לא,"שו""ע או""ח ח:יז","או""ח","תשובה: כן
מקור: שו""ע או""ח ח:יא",כן,"שו""ע או""ח ח:יא",False,True,True,False,False
"קניתי בגד עם ארבע כנפות העשוי מכותנה וחיברתי לו ציציות. חבר אמר לי שאין חיוב מהתורה לשים ציציות בבגד כזה, אלא רק בבגדים העשויים מצמר או מפשתן. האם הוא צודק?","מחלוקת שו""ע-רמ""א","שו""ע או""ח ט:א","או""ח","תשובה: כן
מקור: שו""ע או""ח י""ב:א",כן,"שו""ע או""ח י""ב:א",False,True,False,True,False
אני לובש צעיף דקורטיבי מודרני סביב הצוואר בימים קרים. חבר אמר לי שאני צריך לבדוק כי יש מצב שהוא חייב בציצית. האם הצעיף שלי חייב בציצית?,לא,"שו""ע או""ח י:יא","או""ח","תשובה: לא
מקור: שו""ע או""ח י""ד:א",לא,"שו""ע או""ח י""ד:א",True,True,False,False,False
קניתי חוטי צמר רגילים מחנות בדים בשוק והשתמשתי בהם לקשירת ציצית בטלית שלי. שעת הקשירה כיוונתי לשם מצווה. האם הטלית שלי כשרה?,לא,"שו""ע או""ח יא:א","או""ח","תשובה: לא
מקור: שו""ע או""ח י""א:א",לא,"שו""ע או""ח י""א:א",True,True,True,True,True
"ביקשתי מחבר גוי שיטווה חוטים לציצית שלי. עמדתי לידו והוריתי לו שיעשה את הטוויה לשם מצוות ציצית, אבל לא עזרתי לו בטוויה עצמה. האם הציצית כשרה?","מחלוקת שו""ע, מחלוקת שו""ע-רמ""א","שו""ע או""ח יא:ב","או""ח","תשובה: לא
מקור: שו""ע או""ח י""א:א",לא,"שו""ע או""ח י""א:א",False,True,True,False,False
"בזמן שקניתי טלית חדשה, הוספתי חוט נוסף לציציות מעבר לארבעה חוטים כפולים בכל כנף, כי חשבתי שיותר חוטים זה יותר הידור במצווה. האם בדיעבד הטלית כשרה?",לא,"שו""ע או""ח יא:יב","או""ח","תשובה: לא
מקור: שו""ע או""ח י""א:יב",לא,"שו""ע או""ח י""א:יב",True,True,True,True,True
"ביקשתי מהשכן שלי, שהוא גוי, לקשור את הציציות בטלית החדשה שלי כי הוא קושר קשרים בצורה מאוד יפה ומדויקת. האם הטלית כשרה לפי ההלכה?",לא,"שו""ע או""ח יד:א","או""ח","תשובה: לא
מקור: שו""ע או""ח י""ד:א",לא,"שו""ע או""ח י""ד:א",True,True,True,True,True
"הגעתי לבית הכנסת ושכחתי את הטלית שלי בבית. ראיתי טלית של חבר מונחת על הכיסא לידי והשתמשתי בה לתפילה. בסיום התפילה החזרתי אותה כפי שמצאתי אותה, מקופלת. חבר אמר לי שאסור להשתמש בחפצים של אחרים ללא רשות. האם פעלתי לפי הדין?",כן,"שו""ע או""ח יד:ד","או""ח","תשובה: כן
מקור: שו""ע חו""ם שנ""ט:ה",כן,"שו""ע חו""ם שנ""ט:ה",True,False,False,False,False
"בזמן שהייתי בבית המדרש, רציתי ללמוד מספר פרשנות מסוים שלא היה ברשותי. ראיתי שלחברי יש את הספר הזה, ומכיוון שהוא לא היה שם באותו זמן, לקחתי את הספר ולמדתי ממנו כשעה והחזרתי אותו למקומו. האם פעלתי לפי הדין?",לא,"שו""ע או""ח יד:ד","או""ח","תשובה: לא
מקור: שו""ע חו""ם שנ""ט:א",לא,"שו""ע חו""ם שנ""ט:א",True,False,False,False,False
"הבד של הטלית שלי נקרע באופן שאי אפשר לתקן אותו, אז הסרתי את כל חוטי הציצית ממנה והשתמשתי בהם לטלית חדשה שקניתי. חבר אמר לי שאסור להשתמש בחוטי ציצית מטלית אחת לשנייה. האם פעלתי לפי ההלכה?",כן,"שו""ע או""ח טו:א","או""ח","תשובה: כן
מקור: שו""ע או""ח י""ד:ב",כן,"שו""ע או""ח י""ד:ב",True,True,False,False,False
"סבא שלי נפטר לפני מספר שבועות והטלית שלו נשארה אצלנו. מאחר והטלית עצמה היתה בלויה ואי אפשר היה להשתמש בה, הסרתי את חוטי הציצית מהטלית של סבא כדי לשמור אותם למזכרת. אחי טען שאסור להסיר ציציות מטלית של אדם שנפטר. האם אח שלי צודק?",לא,"שו""ע או""ח טו:א","או""ח","תשובה: לא
מקור: שו""ע או""ח י""א:ט""ו",לא,"שו""ע או""ח י""א:ט""ו",True,True,False,False,False
"לפני שהטלתי ציציות לטלית חדשה שקניתי, בירכתי ""אשר קדשנו במצוותיו וציוונו להטיל ציצית"". האם עשיתי נכון?",לא,"שו""ע או""ח יט:א","או""ח","תשובה: כן
מקור: שו""ע או""ח י""ד:א",כן,"שו""ע או""ח י""ד:א",False,True,False,True,False
נקרעו לי כמה חוטים מהציצית של הטלית שלי. הסרתי את החוטים הקרועים וזרקתי אותם לפח האשפה הרגיל. חבר שלי ראה זאת ואמר שזה לא מכבד את המצווה וצריך לגנוז אותם. האם החבר שלי צודק?,"מחלוקת שו""ע-רמ""א","שו""ע או""ח כא:א","או""ח","תשובה: כן
מקור: שו""ע או""ח כ""א:א",כן,"שו""ע או""ח כ""א:א",False,True,True,True,False
"אני לא נוהג ללבוש טלית קטן באופן קבוע, אבל אני מקפיד ללבוש אותו בזמן התפילה בבוקר. חבר אמר לי שאני חייב ללבוש טלית קטן כל היום ולא רק בזמן התפילה. האם אני מחויב על פי הדין ללבוש טלית קטן כל היום?",לא,"שו""ע או""ח כד:א","או""ח","תשובה: כן
מקור: שו""ע או""ח ח:א",כן,"שו""ע או""ח ח:א",False,True,False,True,False
בזמן קריאת שמע בתפילת שחרית אני מקפיד לאחוז את הציציות ביד ימין שלי ולהניח אותן על הלב. חבר העיר לי שאני עושה את זה לא נכון. האם הוא צודק?,כן,"שו""ע או""ח כד:ב","או""ח","תשובה: כן

מקור: שו""ע או""ח כד:ד",כן,"שו""ע או""ח כד:ד",True,True,True,False,False
"בבית הכנסת שלנו, אחד המתפללים העיר לי שכאשר מגיעים למילים ""וראיתם אותו"" בקריאת שמע, יש חובה הלכתית להסתכל בציציות ולשים אותן על העיניים. האם הוא צודק בטענתו?",לא,"שו""ע או""ח כד:ד","או""ח","תשובה: כן
מקור: שו""ע או""ח כ""ד:ד",כן,"שו""ע או""ח כ""ד:ד",False,True,True,True,False
"בשבוע הבא אני עומד לקדש את ארוסתי בטקס החופה שלנו. חשבתי לקדש אותה בענק (שרשרת) זהב יקרה במקום טבעת, כי יש לי שרשרת משפחתית עם ערך סנטימנטלי. האם מותר לי לקדש בשרשרת זהב במקום בטבעת?",לא,"שו""ע אה""ע כז:א","אה""ע","תשובה: כן
מקור: שו""ע אה""ע כ""ז:א",כן,"שו""ע אה""ע כ""ז:א",False,True,True,True,False
"אתמול בחתונה של חבר, אחת האורחות, רווקה דתית, ניגשה לרב וביקשה להתקדש לבחור שפגשה באירוע. היא הוציאה מארנקה שטר של 100 ש""ח, נתנה לבחור ואמרה בפני עדים ""הריני מקודשת לך בכסף זה"". האם הקידושין תקפים מבחינה הלכתית?",לא,"שו""ע אה""ע כז:ז","אה""ע","תשובה: לא
מקור: שו""ע אה""ע כ""ז:א",לא,"שו""ע אה""ע כ""ז:א",True,True,True,False,False
"לאחרונה כשהייתי בבית חברים, בן הזוג שלי הפתיע אותי וביקש לקדש אותי במקום. הוא לא נתן את הטבעת ישירות לידי, אלא זרק אותה לתוך התיק שלי שהיה מונח לידי. האם אני נחשבת מקודשת על פי ההלכה?",כן,"שו""ע אה""ע ל:א","אה""ע","תשובה: לא
מקור: שו""ע אבן העזר כ""ז:א",לא,"שו""ע אבן העזר כ""ז:א",False,True,False,True,False
"אני עומד לערוך חתונה בשבוע הבא וכתבתי את שטר הקידושין. אמרתי לרב שאני רוצה שהוא יהיה מנוסח באופן מינימלי ויפה ללא פרטים מיותרים, ולכן לא ציינתי את שמותינו המלאים (שלי ושל כלתי) בשטר הקידושין. האם זה מקובל על פי ההלכה?",לא,"שו""ע אה""ע לב:ד","אה""ע","תשובה: לא
מקור: שו""ע אה""ע כ""ז:א",לא,"שו""ע אה""ע כ""ז:א",True,True,False,False,False
"התארסתי אתמול עם בת זוגי במעמד של חמישה אנשים בלבד (הורינו וחבר משותף), ורב ערך לנו את טקס האירוסין ובירך את ברכת האירוסין. אחי הגדול, שלא הצליח להגיע, טען שהיינו צריכים לדאוג לעשרה אנשים לפחות בטקס. האם הוא צודק?",כן,"שו""ע אה""ע לד:ד","אה""ע","תשובה: לא
מקור: שו""ע אה""ע ס""א:ג",לא,"שו""ע אה""ע ס""א:ג",False,True,False,False,False
החלטתי לשלוח את חברי להעביר טבעת קידושין לארוסתי שנמצאת בעיר אחרת. חברי הוא ילד בן 12 שאני סומך עליו מאוד. האם מבחינה הלכתית הוא יכול לשמש כשליח קידושין עבורי?,לא,"שו""ע אה""ע לה:ו","אה""ע","תשובה: לא
מקור: שו""ע אה""ע לה:יח",לא,"שו""ע אה""ע לה:יח",True,True,True,False,False
"התארסתי עם חברתי, ובמעמד הקידושין הצבתי תנאי שהיא תסיים את לימודי התואר שלה בתוך שנתיים כדי שהקידושין יהיו תקפים. עברו שלוש שנים והיא עדיין לא סיימה את התואר. האם אנחנו נחשבים מקודשים על פי ההלכה?",לא,"שו""ע אה""ע לח:א","אה""ע","תשובה: לא
מקור: שו""ע אה""ע לח:ב",לא,"שו""ע אה""ע לח:ב",True,True,True,False,False
"בחתונה של חברים, החתן הפתיע את הכלה בטבעת יקרה במיוחד שקנה לה. הכלה התביישה מאוד מהמחווה הפומבית ולא רצתה לקבל את הטבעת, אך החתן התעקש ושם את הטבעת על אצבעה למרות התנגדותה. האם הקידושין תקפים במקרה כזה?",לא,"שו""ע אה""ע מב:א","אה""ע","תשובה: לא
מקור: שו""ע אה""ע כ""ז:א",לא,"שו""ע אה""ע כ""ז:א",True,True,False,True,False
"הוזמנתי לחתונה של חברים קרובים שלי. האם יש לי מצווה לשמח את החתן והכלה על ידי ריקודים במהלך האירוע, או שמספיק שאגיע ואשב עם האורחים?",כן,"שו""ע אה""ע סה:א","אה""ע","תשובה: כן
מקור: שו""ע אה""ע ס""ה:א",כן,"שו""ע אה""ע ס""ה:א",True,True,True,True,True
אני עומד להתחתן בשבוע הבא ושמעתי שיש מנהג לשים אפר על ראש החתן ביום החתונה. אני לא בטוח איפה בדיוק צריך לשים את האפר. האם נכון שצריך לשים את האפר דווקא במקום שבו מניחים תפילין של ראש?,כן,"שו""ע אה""ע סה:ג","אה""ע","תשובה: כן
מקור: שו""ע או""ח תקס""א:א",כן,"שו""ע או""ח תקס""א:א",True,False,False,False,False
אני הורה גרוש וילדיי בני 4 ו-5 נמצאים במשמורת משותפת. האם אני מחויב מבחינה הלכתית להמשיך לשלם מזונות עבור ילדיי למרות שהם מבלים חצי מהזמן אצלי וחצי אצל גרושתי?,כן,"שו""ע אה""ע עא:א","אה""ע","תשובה: כן
מקור: שו""ע אה""ע פב:ז",כן,"שו""ע אה""ע פב:ז",True,True,False,False,False
"אשתי נפלה וסבלה מפריקה בכתף. האורתופד המליץ על סדרת טיפולי פיזיותרפיה שעלותם אינה ידועה מראש ותלויה בהתקדמות הריפוי. האם לפי ההלכה אני מחויב לשלם עבור כל הטיפולים, גם אם יימשכו זמן רב ויעלו סכום גבוה?",כן,"שו""ע אה""ע עט:א","אה""ע","תשובה: כן
מקור: שו""ע אה""ע פ""ב:א",כן,"שו""ע אה""ע פ""ב:א",True,True,False,True,False
"אני עומד לסדר גט לאשתי, ויש לי שני שמות שקוראים לי בהם - משה ומיכאל. בבית ובמשפחה קוראים לי יותר ""משה"", אבל בעבודה ובקהילה כולם מכירים אותי כ""מיכאל"". איזה שם עליי לכתוב בגט?",כן (כותבים את השם שרגילים בו יותר),"שו""ע אה""ע קכט:א","אה""ע","תשובה: מחלוקת שו""ע-רמ""א
מקור: שו""ע אה""ע קכ""ט:ב ורמ""א שם","מחלוקת שו""ע-רמ""א","שו""ע אה""ע קכ""ט:ב ורמ""א שם",False,True,True,False,False
"אני בתהליך גירושין מבעלי, ובעוד שבוע יתקיים מעמד סידור הגט בבית הדין. חברה שעברה את התהליך סיפרה לי שבעלה אמר לה משפט מסוים בעת מסירת הגט. האם בעלי צריך לומר לי באופן מפורש ""הרי את מגורשת ממני בגט זה ומותרת לכל אדם"" בזמן מסירת הגט?",כן,"שו""ע אה""ע קלו:ג","אה""ע","תשובה: לא
מקור: שו""ע אה""ע קמ""ד:א",לא,"שו""ע אה""ע קמ""ד:א",False,True,False,False,False
"אני עומד להתחתן בשבוע הבא, והחתונה נקבעה לשעה 19:00. האם לפי ההלכה אני והכלה צריכים להתענות ביום החתונה, או שמא זהו רק מנהג שאפשר להקל בו?",כן,"שו""ע אה""ע סא:א","אה""ע","תשובה: כן
מקור: שו""ע או""ח תקע""ג:א",כן,"שו""ע או""ח תקע""ג:א",True,False,False,True,False
אני מתחתן בשבוע הבא ומתלבט לגבי מיקום החופה. האולם שבחרנו מציע לערוך את החופה בתוך האולם המקורה או בגן הפתוח שמחוץ לאולם. האם יש עדיפות הלכתית לערוך את החופה דווקא בחוץ תחת כיפת השמים?,כן,"שו""ע אה""ע סא:א","אה""ע","תשובה: כן
מקור: שו""ע אה""ע ס""א:ג",כן,"שו""ע אה""ע ס""א:ג",True,True,True,False,False
התארסתי לאחרונה ואנחנו מתכננים את טקס החופה שלנו. חברי אמר לי שחייבים לערוך טקס נוסף עם ברכות מספר ימים לפני החתונה עצמה בבית שלי. האם זה נכון שיש חובה הלכתית לקיים טקס ברכות לפני החופה?,כן,"שו""ע אה""ע סב:א","אה""ע","תשובה: לא
מקור: שו""ע אה""ע ס""א:א",לא,"שו""ע אה""ע ס""א:א",False,True,False,True,False
"התחתנתי לפני שלושה ימים עם אשתי שהייתה בתולה, וקיבלתי הצעת עבודה דחופה שמתחילה מחר. האם מותר לי לקבל את העבודה ולהתחיל לעבוד כבר מחר, למרות שטרם עברו שבעה ימים מהחתונה?",לא,"שו""ע אה""ע סד:א","אה""ע","תשובה: לא
מקור: שו""ע אה""ע ס""ד:א",לא,"שו""ע אה""ע ס""ד:א",True,True,True,True,True
"אחותי התארסה לפני חודש, והחתונה מתוכננת לעוד שבועיים. בשל בעיות לוגיסטיות, הציעו שהחתן יכתוב את הכתובה יום לפני החתונה, והם יתייחדו במקום פרטי לאחר טקס הקידושין אך לפני חתימת הכתובה. האם מותר להם להתייחד באופן זה?",לא,"שו""ע אה""ע סו:א","אה""ע","תשובה: לא
מקור: שו""ע אה""ע סה:א",לא,"שו""ע אה""ע סה:א",True,True,False,True,False
"אני מפרנס את אשתי בכל צרכיה, אך לאחרונה היא התלוננה שהבגדים שאני קונה לה אינם ברמה המקובלת בקהילה שלנו. לטענתה, נשים אחרות בסטטוס דומה לשלנו לובשות בגדים יקרים יותר. האם אני מחויב לקנות לה בגדים לפי הסטנדרט המקובל באזור מגורינו?",כן,"שו""ע אה""ע עג:א","אה""ע","תשובה: כן
מקור: שו""ע אה""ע ע""ג:א",כן,"שו""ע אה""ע ע""ג:א",True,True,True,True,True
"בקהילה שלנו יש ויכוח לגבי מינוי שופטת בבית דין לממונות שהקמנו לאחרונה. מכיוון שהמועמדת היא עורכת דין בעלת ידע רב בהלכה ובדיני ממונות, חלק מהחברים טוענים שאין סיבה שלא תשמש כדיינת. האם על פי ההלכה מותר למנות אישה לתפקיד דיינת?",לא,"שו""ע חו""מ ז:א","חו""מ","תשובה: לא
מקור: שו""ע חו""ם ז:ד",לא,"שו""ע חו""ם ז:ד",True,True,True,False,False
"אני תלמיד בכולל ואתמול ישבתי בשיעור של הרב שלי. במהלך השיעור הרב דן בסכסוך ממוני בין שני אנשים, והתכוון לפסוק לחובת אדם עני. ראיתי נקודה הלכתית שיכולה לזכות את העני, אך חששתי להעיר. האם עלי להעיר לרב ולציין את הזכות שראיתי לטובת העני?",כן,"שו""ע חו""מ ט:ז","חו""מ","תשובה: כן
מקור: שו""ע חו""ם ט""ז:א",כן,"שו""ע חו""ם ט""ז:א",True,True,False,False,False
"אני דיין בבית דין קטן בקהילה שלנו, ואתמול הגיע אלי סכסוך בין שכנים על סכום פעוט של כמה שקלים בלבד. האם עלי להתייחס לדין זה באותה רצינות ולהקדיש לו את אותה תשומת הלב כמו לסכסוך על סכום גדול?",כן,"שו""ע חו""מ י:ד","חו""מ","תשובה: כן
מקור: שו""ע חו""ם א:ב",כן,"שו""ע חו""ם א:ב",True,True,False,False,False
"אני ושכני מסוכסכים על נזק שהוא גרם לגדר המשותף שלנו. הגענו לבית דין לדיון, והדיין שאל אותנו בתחילה אם אנחנו מעוניינים בדין או בפשרה. האם הדיין נהג כראוי על פי ההלכה כשהציע לנו פשרה כבר בתחילת הדיון?",כן,"שו""ע חו""מ יב:ב","חו""מ","תשובה: כן
מקור: שו""ע חו""ם יב:ב",כן,"שו""ע חו""ם יב:ב",True,True,True,True,True
"אני דיין בבית דין ולפני כמה תיקים שמחכים לדיון: תביעה של אלמנה, תביעה של יתום, תביעה של תלמיד חכם, תביעה של אישה רגילה ותביעה של איש פשוט. איני בטוח מהו סדר העדיפות הנכון לפי ההלכה לטיפול בתיקים אלו. האם עלי לדון קודם בתביעה של היתום?",כן,"שו""ע חו""מ טו:ב","חו""מ","תשובה: כן
מקור: שו""ע חו""ם ט""ו:ב",כן,"שו""ע חו""ם ט""ו:ב",True,True,True,True,True
"חברי ביקש ממני להעיד בבית הדין על שיחה שהייתה בינו לבין שותפו העסקי, בה הבטיח לו השותף תשלום מסוים עבור עבודה שביצע. אני הייתי נוכח באותה שיחה ושמעתי את ההבטחה. האם אני מחויב על פי ההלכה להעיד לטובתו כשהוא מבקש זאת ממני?",כן,"שו""ע חו""מ כח:א","חו""מ","תשובה: כן
מקור: שו""ע חו""מ כ""ח:א",כן,"שו""ע חו""מ כ""ח:א",True,True,True,True,True
"הייתי עד בבית דין בתביעה ממונית בין שני שכנים. לאחר שסיימתי את עדותי ויצאתי מהחדר, נזכרתי בפרט חשוב ששכחתי לציין שעשוי לשנות את התוצאה. האם אני יכול לחזור לבית הדין ולתקן את עדותי?",לא,"שו""ע חו""מ כט:א","חו""מ","תשובה: כן
מקור: שו""ע חו""מ כ""ח:ה",כן,"שו""ע חו""מ כ""ח:ה",False,True,False,False,False
"אני וחבר שלי היינו עדים לתאונת פגע וברח. בגלל אילוצי זמן, אני הלכתי להעיד בבית דין בעיר שלי, וחברי העיד בבית דין אחר בעיר מגוריו. האם שתי העדויות שלנו יכולות להצטרף יחד לעדות אחת תקפה?",כן,"שו""ע חו""מ ל:יא","חו""מ","תשובה: לא
מקור: שו""ע חו""ש ל:ג",לא,"שו""ע חו""ש ל:ג",False,True,True,False,False
"אני משמש כדיין בבית דין, והיום הגיע לפנינו מקרה של סכסוך עסקי בין שני אנשים. אחד הצדדים הביא כעד את אבי חתנו (כלומר, אבי הכלה של בנו). האם אני יכול לשבת בדין ולהסתמך על עדותו של אבי הכלה בפסיקה?","מחלוקת שו""ע-רמ""א","שו""ע חו""מ לג:ו","חו""מ","תשובה: כן
מקור: שו""ע חו""מ ל""ג:ה",כן,"שו""ע חו""מ ל""ג:ה",False,True,True,False,False
חברי שנמצא במצב כלכלי קשה פנה אליי וביקש עזרה. יש לי אפשרות לתת לו סכום כסף כצדקה או להציע לו הלוואה באותו סכום (שיחזיר כשמצבו ישתפר). מה עדיף מבחינה הלכתית - לתת לו את הכסף כמתנה או להלוות לו?,כן (עדיף להלוות),"שו""ע חו""מ צז:א","חו""מ","תשובה: כן
מקור: שו""ע יו""ד ר""מ:א",כן,"שו""ע יו""ד ר""מ:א",False,False,False,True,False
"לוויתי כסף מחבר, וכעת הוא מבקש שאחזיר לו את ההלוואה. אמרתי לו שאני זקוק לזמן כדי למכור נכס שיש לי כדי להשיג את הכסף להחזר. האם על פי ההלכה מגיע לי זמן של 30 יום להשיג את הכסף?",כן,"שו""ע חו""מ ק:א","חו""מ","תשובה: כן
מקור: שו""ע חו""ם ע""ג:א",כן,"שו""ע חו""ם ע""ג:א",True,True,False,True,False
"לוויתי סכום כסף מחבר והתחייבתי להחזיר לו בסוף החודש. עכשיו הגיע מועד הפירעון, ויש לי בבעלותי רהיטים יקרים ואפילו קרקע קטנה שירשתי, אבל אין לי כרגע מזומנים. האם אני יכול להציע לחבר לקחת את הרהיטים או חלק מהקרקע במקום הכסף שאני חייב לו?",לא,"שו""ע חו""מ קא:א","חו""מ","תשובה: כן
מקור: שו""ע חו""מ ע""ג:א",כן,"שו""ע חו""מ ע""ג:א",False,True,False,True,False
"הלוויתי כסף לחבר והוא אינו מסוגל להחזיר לי את החוב. בית הדין החליט לשום את הקרקע שלו לטובת החזר החוב. טענתי שצריך להעריך את הקרקע לפי ערכה העתידי שצפוי לעלות בחודשים הקרובים, האם אני צודק?",לא,"שו""ע חו""מ קג:א","חו""מ","תשובה: לא
מקור: שו""ע חו""ש ק""ג:א",לא,"שו""ע חו""ש ק""ג:א",True,True,True,True,True
